name,symbol,website,github,careers,circulating_supply,ID,last_updated,max_supply,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,total_supply,website_slug
Pure,PURE,https://purealt.org/,https://github.com/puredev321/pure,,13410621,2146,1527573567,20000000,3408376,10.75,-22.64,-63.45,0.254155,79804.3,690,14519900,pure
DigiPulse,DGPT,https://www.digipulse.io/,https://github.com/digipulseio,,2262814,2207,1527573569,,1421201,-0.82,-56.46,-67.88,0.628068,3600.92,811,5420576,digipulse
PlusCoin,PLC,https://pluscoin.io/,https://github.com/dsplus/PlusCoin,,5172323624,2186,1527573568,,189500,0.59,-10.51,-71,3.66E-05,6803.88,971,28272323623,pluscoin
Peerguess,GUESS,https://peerguess.com/,https://forkdelta.github.io/#!/trade/GUESS-ETH,,17290467,2461,1527573575,,133890,5.22,-27.39,-80.15,0.00774355,9956.77,983,200000000,guess
ERC20,ERC20,http://belance.io/,https://github.com/Belance,,1574741156,2165,1527573567,,160720,-0.85,-27.1,-84.67,0.000102061,670.986,974,1693691126,erc20
Arbitracoin,ATC,https://arbitracoin.com/,https://github.com/ArbiTraCoin/Arbitra-ATC,,,2639,1527573578,,,-14.94,-5.45,-87.18,0.00519679,29450.1,1458,131901470,arbitracoin
CrowdCoin,CRC,http://crowdcoin.site/,https://github.com/crowdcoinChain/Crowdcoin,,1389300,2268,1527573570,,27693,2.59,-82.74,-91.8,0.0199329,916.199,1007,1739300,crowdcoin
Matrix AI Net...,MAN,https://www.matrixchain.io/,https://github.com/MatrixAINetwork,,,,,,,,,,,,,,
Santiment Net...,SAN,https://santiment.net/,https://github.com/santiment,,,,,,,,,,,,,,
Republic Prot...,REN,https://republicprotocol.com/,https://github.com/republicprotocol,,,,,,,,,,,,,,
Quantum Resis...,QRL,https://theqrl.org/,https://github.com/theQRL,,,,,,,,,,,,,,
Ripio Credit ...,RCN,https://ripiocredit.network/,https://github.com/ripio/rcn-network,,,,,,,,,,,,,,
Experience Po...,XP,http://www.xpcoin.io/,https://github.com/eXperiencePoints/XPCoin/,,,,,,,,,,,,,,
